Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond1,Cond2,Cond3,correctflag
 4200, 4.0, -1.0, 0.0, 0.9,  60000,  1.0, 3.0,   2899,  12.1,  20.4,  12.6, 0
 4200, 4.0, -1.0, 0.0, 0.9,  60000,  5.0, 3.0,   1946,  18.1,  30.6,  18.7, 0
 4200, 4.0, -1.0, 0.0, 0.9,  60000, 10.0, 3.0,   1141,  30.8,  50.2,  31.6, 0
 4200, 4.0, -1.0, 0.0, 1.25,  60000,  1.0, 3.0,   1543,  22.2, 111.9,  23.5, 0
 4200, 4.0, -1.0, 0.0, 1.25,  60000,  5.0, 3.0,   1090,  31.4, 186.9,  33.2, 0
 4200, 4.0, -1.0, 0.0, 1.25,  60000, 10.0, 3.0,    664,  51.5, 351.5,  54.5, 0
 4200, 4.0, -1.0, 0.0, 1.65,  60000,  1.0, 3.0,   2880,  11.1,  18.9,  11.4, 0
 4200, 4.0, -1.0, 0.0, 1.65,  60000,  5.0, 3.0,   1985,  16.0,  27.7,  16.6, 0
 4200, 4.0, -1.0, 0.0, 1.65,  60000, 10.0, 3.0,   1140,  27.9,  48.7,  28.9, 0
 4200, 4.0, -1.0, 0.0, 2.2,  60000,  1.0, 3.0,   2509,  19.5,  91.1,  21.0, 0
 4200, 4.0, -1.0, 0.0, 2.2,  60000,  5.0, 3.0,   1569,  31.2, 139.9,  33.4, 0
 4200, 4.0, -1.0, 0.0, 2.2,  60000, 10.0, 3.0,    807,  60.5, 258.7,  65.1, 0
 4200, 4.0, -1.0, 0.0, 1.02,  60000,  1.0, 3.0,   2296,  16.9,  20.0,  17.1, 0
 4200, 4.0, -1.0, 0.0, 1.02,  60000,  5.0, 3.0,   1400,  27.7,  32.9,  28.1, 0
 4200, 4.0, -1.0, 0.0, 1.02,  60000, 10.0, 3.0,    698,  55.5,  66.4,  56.2, 0
 4200, 4.0, -1.0, 0.0, 0.9,  75000,  1.0, 3.0,   3519,   9.0,  14.8,   9.3, 0
 4200, 4.0, -1.0, 0.0, 0.9,  75000,  5.0, 3.0,   2109,  14.9,  25.1,  15.4, 0
 4200, 4.0, -1.0, 0.0, 0.9,  75000, 10.0, 3.0,   1176,  26.7,  43.4,  27.5, 0
 4200, 4.0, -1.0, 0.0, 1.25,  75000,  1.0, 3.0,   1831,  16.8,  78.0,  17.7, 0
 4200, 4.0, -1.0, 0.0, 1.25,  75000,  5.0, 3.0,   1173,  26.1, 150.3,  27.6, 0
 4200, 4.0, -1.0, 0.0, 1.25,  75000, 10.0, 3.0,    683,  44.8, 299.9,  47.4, 0
 4200, 4.0, -1.0, 0.0, 1.65,  75000,  1.0, 3.0,   3406,   8.4,  14.2,   8.6, 0
 4200, 4.0, -1.0, 0.0, 1.65,  75000,  5.0, 3.0,   2150,  13.2,  22.8,  13.7, 0
 4200, 4.0, -1.0, 0.0, 1.65,  75000, 10.0, 3.0,   1177,  24.1,  42.0,  25.0, 0
 4200, 4.0, -1.0, 0.0, 2.2,  75000,  1.0, 3.0,   3093,  14.2,  67.1,  15.2, 0
 4200, 4.0, -1.0, 0.0, 2.2,  75000,  5.0, 3.0,   1730,  25.3, 113.8,  27.1, 0
 4200, 4.0, -1.0, 0.0, 2.2,  75000, 10.0, 3.0,    837,  52.1, 223.2,  56.1, 0
 4200, 4.0, -1.0, 0.0, 1.02,  75000,  1.0, 3.0,   2925,  11.9,  14.0,  12.0, 0
 4200, 4.0, -1.0, 0.0, 1.02,  75000,  5.0, 3.0,   1549,  22.4,  26.5,  22.7, 0
 4200, 4.0, -1.0, 0.0, 1.02,  75000, 10.0, 3.0,    727,  47.6,  56.9,  48.3, 0
 4200, 4.0, -1.0, 0.0, 0.9,  80000,  1.0, 3.0,   3705,   8.2,  13.7,   8.5, 0
 4200, 4.0, -1.0, 0.0, 0.9,  80000,  5.0, 3.0,   2150,  14.2,  24.0,  14.7, 0
 4200, 4.0, -1.0, 0.0, 0.9,  80000, 10.0, 3.0,   1184,  25.7,  41.8,  26.4, 0
 4200, 4.0, -1.0, 0.0, 1.25,  80000,  1.0, 3.0,   1917,  15.5,  70.8,  16.4, 0
 4200, 4.0, -1.0, 0.0, 1.25,  80000,  5.0, 3.0,   1194,  24.9, 142.2,  26.3, 0
 4200, 4.0, -1.0, 0.0, 1.25,  80000, 10.0, 3.0,    687,  43.1, 288.2,  45.6, 0
 4200, 4.0, -1.0, 0.0, 1.65,  80000,  1.0, 3.0,   3556,   7.8,  13.2,   8.0, 0
 4200, 4.0, -1.0, 0.0, 1.65,  80000,  5.0, 3.0,   2191,  12.6,  21.6,  13.0, 0
 4200, 4.0, -1.0, 0.0, 1.65,  80000, 10.0, 3.0,   1186,  23.2,  40.4,  24.0, 0
 4200, 4.0, -1.0, 0.0, 2.2,  80000,  1.0, 3.0,   3264,  13.0,  61.9,  14.0, 0
 4200, 4.0, -1.0, 0.0, 2.2,  80000,  5.0, 3.0,   1770,  23.9, 107.8,  25.7, 0
 4200, 4.0, -1.0, 0.0, 2.2,  80000, 10.0, 3.0,    845,  50.1, 214.2,  53.9, 0
 4200, 4.0, -1.0, 0.0, 1.02,  80000,  1.0, 3.0,   3122,  10.8,  12.7,  10.9, 0
 4200, 4.0, -1.0, 0.0, 1.02,  80000,  5.0, 3.0,   1586,  21.2,  25.1,  21.5, 0
 4200, 4.0, -1.0, 0.0, 1.02,  80000, 10.0, 3.0,    734,  45.7,  54.6,  46.3, 0
 4200, 4.0, -1.0, 0.0, 0.9, 100000,  1.0, 3.0,   4340,   6.3,  10.4,   6.5, 0
 4200, 4.0, -1.0, 0.0, 0.9, 100000,  5.0, 3.0,   2266,  12.0,  20.3,  12.4, 0
 4200, 4.0, -1.0, 0.0, 0.9, 100000, 10.0, 3.0,   1207,  22.6,  36.8,  23.2, 0
 4200, 4.0, -1.0, 0.0, 1.25, 100000,  1.0, 3.0,   2212,  12.0,  51.3,  12.7, 0
 4200, 4.0, -1.0, 0.0, 1.25, 100000,  5.0, 3.0,   1252,  21.2, 118.6,  22.4, 0
 4200, 4.0, -1.0, 0.0, 1.25, 100000, 10.0, 3.0,    700,  37.9, 249.8,  40.1, 0
 4200, 4.0, -1.0, 0.0, 1.65, 100000,  1.0, 3.0,   4045,   6.1,  10.3,   6.3, 0
 4200, 4.0, -1.0, 0.0, 1.65, 100000,  5.0, 3.0,   2306,  10.7,  18.3,  11.0, 0
 4200, 4.0, -1.0, 0.0, 1.65, 100000, 10.0, 3.0,   1209,  20.3,  35.4,  21.1, 0
 4200, 4.0, -1.0, 0.0, 2.2, 100000,  1.0, 3.0,   3831,   9.9,  47.6,  10.7, 0
 4200, 4.0, -1.0, 0.0, 2.2, 100000,  5.0, 3.0,   1884,  20.1,  90.8,  21.6, 0
 4200, 4.0, -1.0, 0.0, 2.2, 100000, 10.0, 3.0,    865,  43.7, 187.0,  47.0, 0
 4200, 4.0, -1.0, 0.0, 1.02, 100000,  1.0, 3.0,   3841,   7.8,   9.3,   7.9, 0
 4200, 4.0, -1.0, 0.0, 1.02, 100000,  5.0, 3.0,   1693,  17.8,  21.0,  18.0, 0
 4200, 4.0, -1.0, 0.0, 1.02, 100000, 10.0, 3.0,    755,  39.7,  47.4,  40.2, 0
 4200, 4.0, -0.5, 0.0, 0.9,  60000,  1.0, 3.0,   3875,   9.2,  15.7,   9.5, 0
 4200, 4.0, -0.5, 0.0, 0.9,  60000,  5.0, 3.0,   2557,  13.9,  23.8,  14.4, 0
 4200, 4.0, -0.5, 0.0, 0.9,  60000, 10.0, 3.0,   1455,  24.4,  40.6,  25.1, 0
 4200, 4.0, -0.5, 0.0, 1.25,  60000,  1.0, 3.0,   2154,  16.0,  57.5,  16.8, 0
 4200, 4.0, -0.5, 0.0, 1.25,  60000,  5.0, 3.0,   1472,  23.3,  93.8,  24.6, 0
 4200, 4.0, -0.5, 0.0, 1.25,  60000, 10.0, 3.0,    868,  39.4, 180.5,  41.7, 0
 4200, 4.0, -0.5, 0.0, 1.65,  60000,  1.0, 3.0,   4241,   7.4,  12.6,   7.6, 0
 4200, 4.0, -0.5, 0.0, 1.65,  60000,  5.0, 3.0,   2882,  10.9,  18.5,  11.2, 0
 4200, 4.0, -0.5, 0.0, 1.65,  60000, 10.0, 3.0,   1621,  19.4,  33.0,  20.0, 0
 4200, 4.0, -0.5, 0.0, 2.2,  60000,  1.0, 3.0,   3527,  13.8,  64.0,  14.8, 0
 4200, 4.0, -0.5, 0.0, 2.2,  60000,  5.0, 3.0,   2235,  21.8,  96.4,  23.3, 0
 4200, 4.0, -0.5, 0.0, 2.2,  60000, 10.0, 3.0,   1167,  41.6, 171.7,  44.6, 0
 4200, 4.0, -0.5, 0.0, 1.02,  60000,  1.0, 3.0,   3438,  11.4,  13.6,  11.6, 0
 4200, 4.0, -0.5, 0.0, 1.02,  60000,  5.0, 3.0,   2091,  18.7,  22.5,  19.0, 0
 4200, 4.0, -0.5, 0.0, 1.02,  60000, 10.0, 3.0,   1040,  37.5,  45.6,  38.1, 0
 4200, 4.0, -0.5, 0.0, 0.9,  75000,  1.0, 3.0,   4737,   6.7,  11.4,   7.0, 0
 4200, 4.0, -0.5, 0.0, 0.9,  75000,  5.0, 3.0,   2782,  11.4,  19.5,  11.9, 0
 4200, 4.0, -0.5, 0.0, 0.9,  75000, 10.0, 3.0,   1502,  21.1,  35.0,  21.8, 0
 4200, 4.0, -0.5, 0.0, 1.25,  75000,  1.0, 3.0,   2595,  11.9,  40.7,  12.5, 0
 4200, 4.0, -0.5, 0.0, 1.25,  75000,  5.0, 3.0,   1594,  19.3,  75.8,  20.3, 0
 4200, 4.0, -0.5, 0.0, 1.25,  75000, 10.0, 3.0,    894,  34.3, 154.5,  36.2, 0
 4200, 4.0, -0.5, 0.0, 1.65,  75000,  1.0, 3.0,   5045,   5.6,   9.4,   5.7, 0
 4200, 4.0, -0.5, 0.0, 1.65,  75000,  5.0, 3.0,   3131,   9.0,  15.2,   9.3, 0
 4200, 4.0, -0.5, 0.0, 1.65,  75000, 10.0, 3.0,   1675,  16.8,  28.5,  17.3, 0
 4200, 4.0, -0.5, 0.0, 2.2,  75000,  1.0, 3.0,   4312,  10.1,  47.6,  10.9, 0
 4200, 4.0, -0.5, 0.0, 2.2,  75000,  5.0, 3.0,   2459,  17.7,  78.8,  19.0, 0
 4200, 4.0, -0.5, 0.0, 2.2,  75000, 10.0, 3.0,   1209,  35.9, 148.4,  38.5, 0
 4200, 4.0, -0.5, 0.0, 1.02,  75000,  1.0, 3.0,   4382,   8.0,   9.6,   8.1, 0
 4200, 4.0, -0.5, 0.0, 1.02,  75000,  5.0, 3.0,   2313,  15.2,  18.2,  15.4, 0
 4200, 4.0, -0.5, 0.0, 1.02,  75000, 10.0, 3.0,   1084,  32.2,  39.1,  32.7, 0
 4200, 4.0, -0.5, 0.0, 0.9,  80000,  1.0, 3.0,   4995,   6.2,  10.5,   6.4, 0
 4200, 4.0, -0.5, 0.0, 0.9,  80000,  5.0, 3.0,   2838,  10.9,  18.6,  11.3, 0
 4200, 4.0, -0.5, 0.0, 0.9,  80000, 10.0, 3.0,   1513,  20.3,  33.7,  20.9, 0
 4200, 4.0, -0.5, 0.0, 1.25,  80000,  1.0, 3.0,   2727,  10.9,  37.1,  11.5, 0
 4200, 4.0, -0.5, 0.0, 1.25,  80000,  5.0, 3.0,   1624,  18.3,  71.9,  19.3, 0
 4200, 4.0, -0.5, 0.0, 1.25,  80000, 10.0, 3.0,    900,  32.9, 148.4,  34.8, 0
 4200, 4.0, -0.5, 0.0, 1.65,  80000,  1.0, 3.0,   5274,   5.2,   8.7,   5.3, 0
 4200, 4.0, -0.5, 0.0, 1.65,  80000,  5.0, 3.0,   3192,   8.6,  14.4,   8.8, 0
 4200, 4.0, -0.5, 0.0, 1.65,  80000, 10.0, 3.0,   1688,  16.1,  27.4,  16.6, 0
 4200, 4.0, -0.5, 0.0, 2.2,  80000,  1.0, 3.0,   4539,   9.3,  44.0,  10.0, 0
 4200, 4.0, -0.5, 0.0, 2.2,  80000,  5.0, 3.0,   2514,  16.8,  74.7,  18.0, 0
 4200, 4.0, -0.5, 0.0, 2.2,  80000, 10.0, 3.0,   1219,  34.5, 142.5,  37.0, 0
 4200, 4.0, -0.5, 0.0, 1.02,  80000,  1.0, 3.0,   4678,   7.3,   8.7,   7.4, 0
 4200, 4.0, -0.5, 0.0, 1.02,  80000,  5.0, 3.0,   2368,  14.3,  17.2,  14.5, 0
 4200, 4.0, -0.5, 0.0, 1.02,  80000, 10.0, 3.0,   1095,  30.9,  37.5,  31.3, 0
 4200, 4.0, -0.5, 0.0, 0.9, 100000,  1.0, 3.0,   5883,   4.7,   8.0,   4.9, 0
