Temp, logg, [Fe/H], Alpha, Band, Resolution, vsini, Sampling, Quality, Cond. 1, Cond. 2, Cond. 3, correct flag
 4000, 5.0,  0.0, 0.0, Z,  75k,  1.0, 3.0,   4252,   7.8,  13.1,   8.1, 0
 4000, 5.0,  0.0, 0.0, Z,  75k,  5.0, 3.0,   2570,  12.8,  21.8,  13.3, 0
 4000, 5.0,  0.0, 0.0, Z,  75k, 10.0, 3.0,   1439,  22.9,  37.9,  23.6, 0
 4000, 5.0,  0.0, 0.0, Y,  75k,  1.0, 3.0,   5004,   7.2,   8.5,   7.3, 0
 4000, 5.0,  0.0, 0.0, Y,  75k,  5.0, 3.0,   2569,  14.0,  16.6,  14.2, 0
 4000, 5.0,  0.0, 0.0, Y,  75k, 10.0, 3.0,   1201,  30.0,  35.8,  30.3, 0
 4000, 5.0,  0.0, 0.0, J,  75k,  1.0, 3.0,   2422,  12.7,  35.6,  13.3, 0
 4000, 5.0,  0.0, 0.0, J,  75k,  5.0, 3.0,   1492,  20.6,  63.9,  21.6, 0
 4000, 5.0,  0.0, 0.0, J,  75k, 10.0, 3.0,    852,  35.9, 124.4,  37.8, 0
 4000, 5.0,  0.0, 0.0, H,  75k,  1.0, 3.0,   4194,   6.9,  11.5,   7.0, 0
 4000, 5.0,  0.0, 0.0, H,  75k,  5.0, 3.0,   2759,  10.4,  17.6,  10.7, 0
 4000, 5.0,  0.0, 0.0, H,  75k, 10.0, 3.0,   1546,  18.6,  31.2,  19.1, 0
 4000, 5.0,  0.0, 0.0, K,  75k,  1.0, 3.0,   3406,   9.0,  41.6,   9.7, 0
 4000, 5.0,  0.0, 0.0, K,  75k,  5.0, 3.0,   2010,  15.3,  67.8,  16.4, 0
 4000, 5.0,  0.0, 0.0, K,  75k, 10.0, 3.0,   1038,  29.6, 120.4,  31.7, 0
 4000, 5.0,  0.0, 0.0, Z, 100k,  1.0, 3.0,   5279,   5.4,   9.1,   5.6, 0
 4000, 5.0,  0.0, 0.0, Z, 100k,  5.0, 3.0,   2758,  10.4,  17.6,  10.7, 0
 4000, 5.0,  0.0, 0.0, Z, 100k, 10.0, 3.0,   1476,  19.3,  32.2,  19.9, 0
 4000, 5.0,  0.0, 0.0, Y, 100k,  1.0, 3.0,   6673,   4.7,   5.5,   4.7, 0
 4000, 5.0,  0.0, 0.0, Y, 100k,  5.0, 3.0,   2816,  11.1,  13.1,  11.2, 0
 4000, 5.0,  0.0, 0.0, Y, 100k, 10.0, 3.0,   1249,  24.9,  29.7,  25.3, 0
 4000, 5.0,  0.0, 0.0, J, 100k,  1.0, 3.0,   3004,   8.9,  23.9,   9.3, 0
 4000, 5.0,  0.0, 0.0, J, 100k,  5.0, 3.0,   1598,  16.7,  51.1,  17.5, 0
 4000, 5.0,  0.0, 0.0, J, 100k, 10.0, 3.0,    874,  30.3, 104.2,  31.9, 0
 4000, 5.0,  0.0, 0.0, H, 100k,  1.0, 3.0,   4879,   5.1,   8.6,   5.2, 0
 4000, 5.0,  0.0, 0.0, H, 100k,  5.0, 3.0,   2947,   8.4,  14.2,   8.7, 0
 4000, 5.0,  0.0, 0.0, H, 100k, 10.0, 3.0,   1586,  15.7,  26.3,  16.1, 0
 4000, 5.0,  0.0, 0.0, K, 100k,  1.0, 3.0,   4134,   6.4,  29.8,   6.9, 0
 4000, 5.0,  0.0, 0.0, K, 100k,  5.0, 3.0,   2174,  12.2,  54.4,  13.1, 0
 4000, 5.0,  0.0, 0.0, K, 100k, 10.0, 3.0,   1068,  25.0, 101.2,  26.7, 0
 3900, 5.0,  0.0, 0.0, Z,  75k,  1.0, 3.0,   4301,   7.7,  13.0,   8.0, 0
 3900, 5.0,  0.0, 0.0, Z,  75k,  5.0, 3.0,   2564,  12.9,  21.9,  13.4, 0
 3900, 5.0,  0.0, 0.0, Z,  75k, 10.0, 3.0,   1424,  23.2,  38.3,  23.9, 0
 3900, 5.0,  0.0, 0.0, Y,  75k,  1.0, 3.0,   5248,   6.9,   8.1,   6.9, 0
 3900, 5.0,  0.0, 0.0, Y,  75k,  5.0, 3.0,   2669,  13.5,  16.0,  13.7, 0
 3900, 5.0,  0.0, 0.0, Y,  75k, 10.0, 3.0,   1238,  29.1,  34.6,  29.5, 0
 3900, 5.0,  0.0, 0.0, J,  75k,  1.0, 3.0,   2452,  12.6,  34.1,  13.2, 0
 3900, 5.0,  0.0, 0.0, J,  75k,  5.0, 3.0,   1488,  20.7,  61.9,  21.7, 0
 3900, 5.0,  0.0, 0.0, J,  75k, 10.0, 3.0,    840,  36.4, 121.2,  38.2, 0
